F,Location Description,D,Location Name,Street Start,Street End,Enforcement Hours,Enforcement Days,Position,Route,Notes,LOCATION ID,Video Timestamp,Ryan QC
,EB Wilshire Blvd @ Comstock Ave,EB,Wilshire Blvd,Comstock Ave,Merv Griffin Way,24 Hours,All Days,Curb,720,Lane starts after the beginning of the block and ends  before Merv Griffin Way - no enforcement days/times on signs,"EB|Wilshire Blvd @ Comstock Ave|0,24|ALL|BD",EB 720_1.MP4 10:02,Bus lane sign appears at 9:57 for a bus lane ahead. Should this apply to this section? ER: Agree that the sign would apply to this block.
,EB Wilshire Blvd @ Spaulding Ave,EB,Wilshire Blvd,Spaulding Ave,Stanley Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Spaulding Ave|7,9,16,19|12345|BD",EB 720_3.MP4 4:41,
,EB Wilshire Blvd @ Stanley Ave,EB,Wilshire Blvd,Stanley Ave,Curson Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Stanley Ave|7,9,16,19|12345|BD",EB 720_3.MP4 4:58,
,EB Wilshire Blvd @ Curson Ave,EB,Wilshire Blvd,Curson Ave,Courtyard Pl,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Offset/Curb,720,,"EB|Wilshire Blvd @ Curson Ave|7,9,16,19|12345|BD",EB 720_3.MP4 5:13,x
,EB Wilshire Blvd @ Courtyard Pl,EB,Wilshire Blvd,Courtyard Pl,Masselin Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Courtyard Pl|7,9,16,19|12345|BD",EB 720_3.MP4 5:23,x
,EB Wilshire Blvd @ Masselin Ave,EB,Wilshire Blvd,Masselin Ave,Hauser Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb/Offset,720,,"EB|Wilshire Blvd @ Masselin Ave|7,9,16,19|12345|BD",EB 720_3.MP4 5:32,Bus lane right lane bu then there's a right turn lane. Does BL end? ER: I am actually not sure since there is no sign that states bus lane ends. I would assume it goes to the end of the block - I updated position to curb/offset
,EB Wilshire Blvd @ Citrus Ave,EB,Wilshire Blvd,Citrus Ave,Highland Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Citrus Ave|7,9,16,19|12345|BD",EB 720_3.MP4 9:14,x
,EB Wilshire Blvd @ Highland Ave,EB,Wilshire Blvd,Highland Ave,Longwood Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Highland Ave|7,9,16,19|12345|BD",EB 720_3.MP4 9:23,x
,EB Wilshire Blvd @ Longwood Ave,EB,Wilshire Blvd,Longwood Ave,Tremaine Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Longwood Ave|7,9,16,19|12345|BD",EB 720_3.MP4 9:32,x
,EB Wilshire Blvd @ Tremaine Ave,EB,Wilshire Blvd,Tremaine Ave,Keniston Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Tremaine Ave|7,9,16,19|12345|BD",EB 720_3.MP4 9:38,x
,EB Wilshire Blvd @ Keniston Ave,EB,Wilshire Blvd,Keniston Ave,Hudson Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Keniston Ave|7,9,16,19|12345|BD",EB 720_3.MP4 9:42,x
,EB Wilshire Blvd @ Hudson Ave,EB,Wilshire Blvd,Hudson Ave,Rimpau Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Hudson Ave|7,9,16,19|12345|BD",EB 720_3.MP4 9:50,x
,EB Wilshire Blvd @ Rimpau Blvd,EB,Wilshire Blvd,Rimpau Blvd,Mullen Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Rimpau Blvd|7,9,16,19|12345|BD",EB 720_3.MP4 9:59,x
,EB Wilshire Blvd @ Mullen Ave,EB,Wilshire Blvd,Mullen Ave,Muirfield Rd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Mullen Ave|7,9,16,19|12345|BD",EB 720_3.MP4 10:04,x
,EB Wilshire Blvd @ Muirfield Rd,EB,Wilshire Blvd,Muirfield Rd,Fremont Pl W,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Muirfield Rd|7,9,16,19|12345|BD",EB 720_3.MP4 10:10,x
,EB Wilshire Blvd @ Fremont Pl W,EB,Wilshire Blvd,Fremont Pl W,Lucerne Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Fremont Pl W|7,9,16,19|12345|BD",EB 720_3.MP4 10:20,x
,EB Wilshire Blvd @ Lucerne Blvd,EB,Wilshire Blvd,Lucerne Blvd,Plymouth Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Lucerne Blvd|7,9,16,19|12345|BD",EB 720_3.MP4 10:46,x
,EB Wilshire Blvd @ Plymouth Blvd,EB,Wilshire Blvd,Plymouth Blvd,Windsor Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Plymouth Blvd|7,9,16,19|12345|BD",EB 720_3.MP4 10:55,x
,EB Wilshire Blvd @ Windsor Blvd,EB,Wilshire Blvd,Windsor Blvd,Lorraine Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Windsor Blvd|7,9,16,19|12345|BD",EB 720_3.MP4 11:00,x
,EB Wilshire Blvd @ Lorraine Blvd,EB,Wilshire Blvd,Lorraine Blvd,Crenshaw Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Lorraine Blvd|7,9,16,19|12345|BD",EB 720_3.MP4 11:09,x
,EB Wilshire Blvd @ Crenshaw Blvd,EB,Wilshire Blvd,Crenshaw Blvd,Bronson Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Crenshaw Blvd|7,9,16,19|12345|BD",EB 720_3.MP4 11:17,x
